Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
RIVERTREES RESIDENCES,"738,000",581.26,"1,270",Apr-21,FERNVALE CLOSE,Resale,Strata,54,"13,667",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,01 to 05
SIMSVILLE,"1,360,000","1,237.86","1,099",Apr-21,GEYLANG EAST AVENUE 2,Resale,Strata,115,"11,826",-,Condominium,1,99 yrs lease commencing from 1994,14,Rest of Central Region,06 to 10
HILLSTA,"658,000",570.49,"1,153",Apr-21,PHOENIX ROAD,Resale,Strata,53,"12,415",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15
PALM GARDENS,"880,000","1,205.57",730,Apr-21,HONG SAN WALK,Resale,Strata,112,"7,857",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,01 to 05
NORTHVALE,"912,000","1,270.15",718,Apr-21,CHOA CHU KANG LOOP,Resale,Strata,118,"7,729",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
ONE-NORTH RESIDENCES,"860,000",592.02,"1,453",Apr-21,ONE-NORTH GATEWAY,Resale,Strata,55,"15,636",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
KINGSFORD WATERBAY,"755,000",613.55,"1,231",Apr-21,UPPER SERANGOON VIEW,Resale,Strata,57,"13,246",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
BARTLEY RIDGE,"1,610,000","1,227.1","1,312",Apr-21,MOUNT VERNON ROAD,Resale,Strata,114,"14,123",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
ROSEWOOD,"870,000","1,173.28",742,Apr-21,ROSEWOOD DRIVE,Resale,Strata,109,"7,982",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,06 to 10
ROSEWOOD,"1,238,000","1,883.7",657,Apr-21,ROSEWOOD DRIVE,Resale,Strata,175,"7,074",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,16 to 20
WATERFRONT KEY,"1,438,000","1,259.39","1,142",Apr-21,BEDOK RESERVOIR ROAD,Resale,Strata,117,"12,291",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,11 to 15
FLAMINGO VALLEY,"1,230,000",818.06,"1,504",Apr-21,SIGLAP ROAD,Resale,Strata,76,"16,184",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
RIVERTREES RESIDENCES,"1,028,000",871.88,"1,179",Apr-21,FERNVALE CLOSE,Resale,Strata,81,"12,691",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,16 to 20
TREVISTA,"1,865,000","1,280.92","1,456",Apr-21,LORONG 3 TOA PAYOH,Resale,Strata,119,"15,672",-,Condominium,1,99 yrs lease commencing from 2008,12,Rest of Central Region,11 to 15
AZALEA PARK CONDOMINIUM,"1,300,000","1,679.18",774,Apr-21,FLORA ROAD,Resale,Strata,156,"8,333",-,Condominium,1,999 yrs lease commencing from 1885,17,Outside Central Region,01 to 05
THE ALPS RESIDENCES,"1,300,000","1,065.64","1,220",Apr-21,TAMPINES STREET 86,Sub Sale,Strata,99,"13,131",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,06 to 10
THE MINTON,"1,100,000",979.52,"1,123",Apr-21,HOUGANG STREET 11,Resale,Strata,91,"12,088",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
MACKENZIE 88,"802,000",505.91,"1,585",Apr-21,MACKENZIE ROAD,Resale,Strata,47,"17,064",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
THE WATERINA,"1,515,000","1,087.16","1,394",Apr-21,LORONG 40 GEYLANG,Resale,Strata,101,"15,000",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
